district,candidate,party,votes_received
Kalutara,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,29
Kalutara,SARATH BANDARANAYAKE,NDF,1
Kalutara,BATHTHARAMULLE SEELARATHANA THERO,JSP,12
Kalutara,NUWAN BOPEGE,SPF,43
Kalutara,SARATH MANAMENDRA,NSU,2
Kalutara,PEMASIRI MANAGE,IND14,1
Kalutara,ANURUDDHA ROSHAN RANASINGHE,IND15,14
Kalutara,JANAKA RATNAYAKE,ELPP,10
Kalutara,NAMAL RAJAPAKSHA,SBP,30
Kalutara,NAMAL RAJAPAKSA,SLPP,663
Kalutara,WIJEYADASA RAJAPAKSHE,JPF,37
Kalutara,A.S.P. LIYANAGE,SLLP,2
Kalutara,KEERTHIE WICKRAMARATNE,AJP,7
Kalutara,PRIYANTHA WICKRAMASINGHE,NSSP,13
Kalutara,RANIL WICKREMESINGHE,IND16,7456
Kalutara,PANI WIJESIRIWARDENA,SEP,5
Kalutara,OSHALA HERATH,NIF,6
Mahanuwara,AKMEEMANA DAYARATHANA THERO,IND1,17
Mahanuwara,ABUBAKAR MOHAMED INFAS,DUA,4
Mahanuwara,SIRIPALA AMARASINGHE,IND2,8
Mahanuwara,K.K. PIYADASA,IND4,30
Mahanuwara,SARATH KEERTHIRATHNA,IND5,4
Mahanuwara,K.A. KULARATNA,IND6,10
Mahanuwara,K.R. KRISHAN,APP,4
Mahanuwara,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,1
Mahanuwara,DILITH JAYAWEERA,SLCP,426
Mahanuwara,SIRITUNGA JAYASURIYA,USP,5
Mahanuwara,MYLVAGANAM THILAKARAJAH,IND8,0
Mahanuwara,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,80
Mahanuwara,LALITH DE SILVA,UNFF,7
Mahanuwara,AJANTHA DE ZOYSA,RJA,9
Mahanuwara,ANURA KUMARA DISSANAYAKE,NPP,32295
Mahanuwara,MAHINDA DEWAGE,SLSP,10
Mahanuwara,ARIYANETHIRAN PAKKIYASELVAM,IND9,10
Mahanuwara,VICTOR PERERA,IND10,7
Mahanuwara,ANURUDDHA POLGAMPALA,IND11,12
Mahanuwara,SAJITH PREMADASA,SJB,9134
Mahanuwara,SARATH FONSEKA,IND12,50
Mahanuwara,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,32
Mahanuwara,SARATH BANDARANAYAKE,NDF,5
Mahanuwara,BATHTHARAMULLE SEELARATHANA THERO,JSP,24
Mahanuwara,NUWAN BOPEGE,SPF,48
Mahanuwara,SARATH MANAMENDRA,NSU,1
Mahanuwara,PEMASIRI MANAGE,IND14,2
