district,candidate,party,votes_received
Digamadulla,SARATH BANDARANAYAKE,NDF,1
Digamadulla,BATHTHARAMULLE SEELARATHANA THERO,JSP,4
Digamadulla,NUWAN BOPEGE,SPF,26
Digamadulla,SARATH MANAMENDRA,NSU,3
Digamadulla,PEMASIRI MANAGE,IND14,2
Digamadulla,ANURUDDHA ROSHAN RANASINGHE,IND15,3
Digamadulla,JANAKA RATNAYAKE,ELPP,2
Digamadulla,NAMAL RAJAPAKSHA,SBP,15
Digamadulla,NAMAL RAJAPAKSA,SLPP,318
Digamadulla,WIJEYADASA RAJAPAKSHE,JPF,16
Digamadulla,A.S.P. LIYANAGE,SLLP,5
Digamadulla,KEERTHIE WICKRAMARATNE,AJP,1
Digamadulla,PRIYANTHA WICKRAMASINGHE,NSSP,6
Digamadulla,RANIL WICKREMESINGHE,IND16,6719
Digamadulla,PANI WIJESIRIWARDENA,SEP,3
Digamadulla,OSHALA HERATH,NIF,0
Trincomalee,AKMEEMANA DAYARATHANA THERO,IND1,10
Trincomalee,ABUBAKAR MOHAMED INFAS,DUA,7
Trincomalee,SIRIPALA AMARASINGHE,IND2,3
Trincomalee,K.K. PIYADASA,IND4,38
Trincomalee,SARATH KEERTHIRATHNA,IND5,6
Trincomalee,K.A. KULARATNA,IND6,3
Trincomalee,K.R. KRISHAN,APP,2
Trincomalee,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,6
Trincomalee,DILITH JAYAWEERA,SLCP,39
Trincomalee,SIRITUNGA JAYASURIYA,USP,4
Trincomalee,MYLVAGANAM THILAKARAJAH,IND8,4
Trincomalee,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,5
Trincomalee,LALITH DE SILVA,UNFF,1
Trincomalee,AJANTHA DE ZOYSA,RJA,6
Trincomalee,ANURA KUMARA DISSANAYAKE,NPP,5480
Trincomalee,MAHINDA DEWAGE,SLSP,3
Trincomalee,ARIYANETHIRAN PAKKIYASELVAM,IND9,431
Trincomalee,VICTOR PERERA,IND10,1
Trincomalee,ANURUDDHA POLGAMPALA,IND11,10
Trincomalee,SAJITH PREMADASA,SJB,4537
Trincomalee,SARATH FONSEKA,IND12,15
Trincomalee,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,21
Trincomalee,SARATH BANDARANAYAKE,NDF,1
Trincomalee,BATHTHARAMULLE SEELARATHANA THERO,JSP,2
Trincomalee,NUWAN BOPEGE,SPF,14
Trincomalee,SARATH MANAMENDRA,NSU,2
Trincomalee,PEMASIRI MANAGE,IND14,0
Trincomalee,ANURUDDHA ROSHAN RANASINGHE,IND15,4
Trincomalee,JANAKA RATNAYAKE,ELPP,2
Trincomalee,NAMAL RAJAPAKSHA,SBP,11
Trincomalee,NAMAL RAJAPAKSA,SLPP,129
Trincomalee,WIJEYADASA RAJAPAKSHE,JPF,14
Trincomalee,A.S.P. LIYANAGE,SLLP,1
Trincomalee,KEERTHIE WICKRAMARATNE,AJP,4
Trincomalee,PRIYANTHA WICKRAMASINGHE,NSSP,13
Trincomalee,RANIL WICKREMESINGHE,IND16,3630
Trincomalee,PANI WIJESIRIWARDENA,SEP,4
Trincomalee,OSHALA HERATH,NIF,0
Kurunegala,AKMEEMANA DAYARATHANA THERO,IND1,28
Kurunegala,ABUBAKAR MOHAMED INFAS,DUA,6
Kurunegala,SIRIPALA AMARASINGHE,IND2,14
Kurunegala,K.K. PIYADASA,IND4,35
Kurunegala,SARATH KEERTHIRATHNA,IND5,6
Kurunegala,K.A. KULARATNA,IND6,4
Kurunegala,K.R. KRISHAN,APP,8
Kurunegala,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,4
Kurunegala,DILITH JAYAWEERA,SLCP,314
Kurunegala,SIRITUNGA JAYASURIYA,USP,8
Kurunegala,MYLVAGANAM THILAKARAJAH,IND8,2
Kurunegala,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,76
Kurunegala,LALITH DE SILVA,UNFF,6
Kurunegala,AJANTHA DE ZOYSA,RJA,19
Kurunegala,ANURA KUMARA DISSANAYAKE,NPP,47126
Kurunegala,MAHINDA DEWAGE,SLSP,8
Kurunegala,ARIYANETHIRAN PAKKIYASELVAM,IND9,13
Kurunegala,VICTOR PERERA,IND10,6
Kurunegala,ANURUDDHA POLGAMPALA,IND11,15
Kurunegala,SAJITH PREMADASA,SJB,13081
Kurunegala,SARATH FONSEKA,IND12,73
Kurunegala,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,57
Kurunegala,SARATH BANDARANAYAKE,NDF,4
Kurunegala,BATHTHARAMULLE SEELARATHANA THERO,JSP,23
Kurunegala,NUWAN BOPEGE,SPF,39
Kurunegala,SARATH MANAMENDRA,NSU,4
Kurunegala,PEMASIRI MANAGE,IND14,4
Kurunegala,ANURUDDHA ROSHAN RANASINGHE,IND15,19
Kurunegala,JANAKA RATNAYAKE,ELPP,5
Kurunegala,NAMAL RAJAPAKSHA,SBP,86
Kurunegala,NAMAL RAJAPAKSA,SLPP,1384
Kurunegala,WIJEYADASA RAJAPAKSHE,JPF,48
Kurunegala,A.S.P. LIYANAGE,SLLP,4
Kurunegala,KEERTHIE WICKRAMARATNE,AJP,14
Kurunegala,PRIYANTHA WICKRAMASINGHE,NSSP,28
Kurunegala,RANIL WICKREMESINGHE,IND16,11998
Kurunegala,PANI WIJESIRIWARDENA,SEP,7
Kurunegala,OSHALA HERATH,NIF,7
Puttalam,AKMEEMANA DAYARATHANA THERO,IND1,3
Puttalam,ABUBAKAR MOHAMED INFAS,DUA,5
Puttalam,SIRIPALA AMARASINGHE,IND2,0
Puttalam,K.K. PIYADASA,IND4,13
Puttalam,SARATH KEERTHIRATHNA,IND5,2
Puttalam,K.A. KULARATNA,IND6,0
Puttalam,K.R. KRISHAN,APP,1
Puttalam,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,0
Puttalam,DILITH JAYAWEERA,SLCP,58
Puttalam,SIRITUNGA JAYASURIYA,USP,3
Puttalam,MYLVAGANAM THILAKARAJAH,IND8,0
Puttalam,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,10
Puttalam,LALITH DE SILVA,UNFF,1
Puttalam,AJANTHA DE ZOYSA,RJA,1
Puttalam,ANURA KUMARA DISSANAYAKE,NPP,8614
Puttalam,MAHINDA DEWAGE,SLSP,2
Puttalam,ARIYANETHIRAN PAKKIYASELVAM,IND9,5
Puttalam,VICTOR PERERA,IND10,0
Puttalam,ANURUDDHA POLGAMPALA,IND11,2
Puttalam,SAJITH PREMADASA,SJB,3044
Puttalam,SARATH FONSEKA,IND12,19
Puttalam,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,9
Puttalam,SARATH BANDARANAYAKE,NDF,2
Puttalam,BATHTHARAMULLE SEELARATHANA THERO,JSP,1
Puttalam,NUWAN BOPEGE,SPF,12
Puttalam,SARATH MANAMENDRA,NSU,2
Puttalam,PEMASIRI MANAGE,IND14,1
Puttalam,ANURUDDHA ROSHAN RANASINGHE,IND15,1
Puttalam,JANAKA RATNAYAKE,ELPP,3
Puttalam,NAMAL RAJAPAKSHA,SBP,39
Puttalam,NAMAL RAJAPAKSA,SLPP,219
Puttalam,WIJEYADASA RAJAPAKSHE,JPF,7
Puttalam,A.S.P. LIYANAGE,SLLP,0
Puttalam,KEERTHIE WICKRAMARATNE,AJP,0
Puttalam,PRIYANTHA WICKRAMASINGHE,NSSP,4
Puttalam,RANIL WICKREMESINGHE,IND16,2335
Puttalam,PANI WIJESIRIWARDENA,SEP,3
Puttalam,OSHALA HERATH,NIF,2
Anuradhapura,AKMEEMANA DAYARATHANA THERO,IND1,24
Anuradhapura,ABUBAKAR MOHAMED INFAS,DUA,23
Anuradhapura,SIRIPALA AMARASINGHE,IND2,13
Anuradhapura,K.K. PIYADASA,IND4,68
Anuradhapura,SARATH KEERTHIRATHNA,IND5,11
Anuradhapura,K.A. KULARATNA,IND6,6
Anuradhapura,K.R. KRISHAN,APP,9
Anuradhapura,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,2
Anuradhapura,DILITH JAYAWEERA,SLCP,180
Anuradhapura,SIRITUNGA JAYASURIYA,USP,5
Anuradhapura,MYLVAGANAM THILAKARAJAH,IND8,2
Anuradhapura,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,44
Anuradhapura,LALITH DE SILVA,UNFF,4
Anuradhapura,AJANTHA DE ZOYSA,RJA,16
Anuradhapura,ANURA KUMARA DISSANAYAKE,NPP,32750
Anuradhapura,MAHINDA DEWAGE,SLSP,7
Anuradhapura,ARIYANETHIRAN PAKKIYASELVAM,IND9,11
Anuradhapura,VICTOR PERERA,IND10,5
Anuradhapura,ANURUDDHA POLGAMPALA,IND11,24
Anuradhapura,SAJITH PREMADASA,SJB,10956
Anuradhapura,SARATH FONSEKA,IND12,57
Anuradhapura,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,66
Anuradhapura,SARATH BANDARANAYAKE,NDF,2
Anuradhapura,BATHTHARAMULLE SEELARATHANA THERO,JSP,8
Anuradhapura,NUWAN BOPEGE,SPF,31
Anuradhapura,SARATH MANAMENDRA,NSU,8
Anuradhapura,PEMASIRI MANAGE,IND14,1
Anuradhapura,ANURUDDHA ROSHAN RANASINGHE,IND15,9
Anuradhapura,JANAKA RATNAYAKE,ELPP,3
Anuradhapura,NAMAL RAJAPAKSHA,SBP,59
Anuradhapura,NAMAL RAJAPAKSA,SLPP,783
Anuradhapura,WIJEYADASA RAJAPAKSHE,JPF,35
Anuradhapura,A.S.P. LIYANAGE,SLLP,5
Anuradhapura,KEERTHIE WICKRAMARATNE,AJP,8
Anuradhapura,PRIYANTHA WICKRAMASINGHE,NSSP,21
Anuradhapura,RANIL WICKREMESINGHE,IND16,8218
Anuradhapura,PANI WIJESIRIWARDENA,SEP,8
Anuradhapura,OSHALA HERATH,NIF,2
Polonnaruwa,AKMEEMANA DAYARATHANA THERO,IND1,16
Polonnaruwa,ABUBAKAR MOHAMED INFAS,DUA,9
Polonnaruwa,SIRIPALA AMARASINGHE,IND2,4
Polonnaruwa,K.K. PIYADASA,IND4,27
Polonnaruwa,SARATH KEERTHIRATHNA,IND5,13
Polonnaruwa,K.A. KULARATNA,IND6,6
Polonnaruwa,K.R. KRISHAN,APP,1
Polonnaruwa,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,3
Polonnaruwa,DILITH JAYAWEERA,SLCP,56
Polonnaruwa,SIRITUNGA JAYASURIYA,USP,7
Polonnaruwa,MYLVAGANAM THILAKARAJAH,IND8,2
Polonnaruwa,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,12
Polonnaruwa,LALITH DE SILVA,UNFF,4
Polonnaruwa,AJANTHA DE ZOYSA,RJA,4
Polonnaruwa,ANURA KUMARA DISSANAYAKE,NPP,11768
Polonnaruwa,MAHINDA DEWAGE,SLSP,5
Polonnaruwa,ARIYANETHIRAN PAKKIYASELVAM,IND9,6
Polonnaruwa,VICTOR PERERA,IND10,2
Polonnaruwa,ANURUDDHA POLGAMPALA,IND11,6
Polonnaruwa,SAJITH PREMADASA,SJB,4120
Polonnaruwa,SARATH FONSEKA,IND12,24
Polonnaruwa,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,34
Polonnaruwa,SARATH BANDARANAYAKE,NDF,3
Polonnaruwa,BATHTHARAMULLE SEELARATHANA THERO,JSP,6
Polonnaruwa,NUWAN BOPEGE,SPF,26
Polonnaruwa,SARATH MANAMENDRA,NSU,0
Polonnaruwa,PEMASIRI MANAGE,IND14,5
Polonnaruwa,ANURUDDHA ROSHAN RANASINGHE,IND15,33
Polonnaruwa,JANAKA RATNAYAKE,ELPP,2
Polonnaruwa,NAMAL RAJAPAKSHA,SBP,12
Polonnaruwa,NAMAL RAJAPAKSA,SLPP,188
Polonnaruwa,WIJEYADASA RAJAPAKSHE,JPF,16
Polonnaruwa,A.S.P. LIYANAGE,SLLP,5
Polonnaruwa,KEERTHIE WICKRAMARATNE,AJP,2
Polonnaruwa,PRIYANTHA WICKRAMASINGHE,NSSP,18
Polonnaruwa,RANIL WICKREMESINGHE,IND16,2762
Polonnaruwa,PANI WIJESIRIWARDENA,SEP,3
Polonnaruwa,OSHALA HERATH,NIF,1
Badulla,AKMEEMANA DAYARATHANA THERO,IND1,14
Badulla,ABUBAKAR MOHAMED INFAS,DUA,2
Badulla,SIRIPALA AMARASINGHE,IND2,6
Badulla,K.K. PIYADASA,IND4,27
Badulla,SARATH KEERTHIRATHNA,IND5,6
Badulla,K.A. KULARATNA,IND6,4
Badulla,K.R. KRISHAN,APP,7
Badulla,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,2
Badulla,DILITH JAYAWEERA,SLCP,151
Badulla,SIRITUNGA JAYASURIYA,USP,3
Badulla,MYLVAGANAM THILAKARAJAH,IND8,2
Badulla,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,49
Badulla,LALITH DE SILVA,UNFF,5
Badulla,AJANTHA DE ZOYSA,RJA,8
Badulla,ANURA KUMARA DISSANAYAKE,NPP,23629
Badulla,MAHINDA DEWAGE,SLSP,5
Badulla,ARIYANETHIRAN PAKKIYASELVAM,IND9,9
Badulla,VICTOR PERERA,IND10,1
Badulla,ANURUDDHA POLGAMPALA,IND11,8
Badulla,SAJITH PREMADASA,SJB,7757
Badulla,SARATH FONSEKA,IND12,40
Badulla,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,29
Badulla,SARATH BANDARANAYAKE,NDF,2
Badulla,BATHTHARAMULLE SEELARATHANA THERO,JSP,12
Badulla,NUWAN BOPEGE,SPF,65
Badulla,SARATH MANAMENDRA,NSU,0
Badulla,PEMASIRI MANAGE,IND14,3
Badulla,ANURUDDHA ROSHAN RANASINGHE,IND15,7
Badulla,JANAKA RATNAYAKE,ELPP,2
Badulla,NAMAL RAJAPAKSHA,SBP,25
Badulla,NAMAL RAJAPAKSA,SLPP,598
Badulla,WIJEYADASA RAJAPAKSHE,JPF,18
Badulla,A.S.P. LIYANAGE,SLLP,3
Badulla,KEERTHIE WICKRAMARATNE,AJP,3
Badulla,PRIYANTHA WICKRAMASINGHE,NSSP,7
Badulla,RANIL WICKREMESINGHE,IND16,7967
Badulla,PANI WIJESIRIWARDENA,SEP,8
Badulla,OSHALA HERATH,NIF,4
Monaragala,AKMEEMANA DAYARATHANA THERO,IND1,16
Monaragala,ABUBAKAR MOHAMED INFAS,DUA,1
Monaragala,SIRIPALA AMARASINGHE,IND2,2
Monaragala,K.K. PIYADASA,IND4,30
Monaragala,SARATH KEERTHIRATHNA,IND5,5
Monaragala,K.A. KULARATNA,IND6,6
Monaragala,K.R. KRISHAN,APP,3
Monaragala,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,4
Monaragala,DILITH JAYAWEERA,SLCP,89
Monaragala,SIRITUNGA JAYASURIYA,USP,4
Monaragala,MYLVAGANAM THILAKARAJAH,IND8,0
Monaragala,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,14
Monaragala,LALITH DE SILVA,UNFF,3
Monaragala,AJANTHA DE ZOYSA,RJA,9
Monaragala,ANURA KUMARA DISSANAYAKE,NPP,14050
Monaragala,MAHINDA DEWAGE,SLSP,3
Monaragala,ARIYANETHIRAN PAKKIYASELVAM,IND9,3
Monaragala,VICTOR PERERA,IND10,0
Monaragala,ANURUDDHA POLGAMPALA,IND11,2
Monaragala,SAJITH PREMADASA,SJB,5733
Monaragala,SARATH FONSEKA,IND12,16
Monaragala,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,24
Monaragala,SARATH BANDARANAYAKE,NDF,2
Monaragala,BATHTHARAMULLE SEELARATHANA THERO,JSP,8
Monaragala,NUWAN BOPEGE,SPF,24
Monaragala,SARATH MANAMENDRA,NSU,1
Monaragala,PEMASIRI MANAGE,IND14,2
Monaragala,ANURUDDHA ROSHAN RANASINGHE,IND15,7
Monaragala,JANAKA RATNAYAKE,ELPP,2
Monaragala,NAMAL RAJAPAKSHA,SBP,20
Monaragala,NAMAL RAJAPAKSA,SLPP,470
Monaragala,WIJEYADASA RAJAPAKSHE,JPF,21
Monaragala,A.S.P. LIYANAGE,SLLP,1
Monaragala,KEERTHIE WICKRAMARATNE,AJP,4
Monaragala,PRIYANTHA WICKRAMASINGHE,NSSP,5
Monaragala,RANIL WICKREMESINGHE,IND16,3401
Monaragala,PANI WIJESIRIWARDENA,SEP,3
Monaragala,OSHALA HERATH,NIF,1
Ratnapura,AKMEEMANA DAYARATHANA THERO,IND1,12
Ratnapura,ABUBAKAR MOHAMED INFAS,DUA,3
Ratnapura,SIRIPALA AMARASINGHE,IND2,3
Ratnapura,K.K. PIYADASA,IND4,15
Ratnapura,SARATH KEERTHIRATHNA,IND5,1
Ratnapura,K.A. KULARATNA,IND6,1
Ratnapura,K.R. KRISHAN,APP,4
Ratnapura,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,2
Ratnapura,DILITH JAYAWEERA,SLCP,251
Ratnapura,SIRITUNGA JAYASURIYA,USP,3
Ratnapura,MYLVAGANAM THILAKARAJAH,IND8,3
Ratnapura,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,26
Ratnapura,LALITH DE SILVA,UNFF,1
Ratnapura,AJANTHA DE ZOYSA,RJA,13
Ratnapura,ANURA KUMARA DISSANAYAKE,NPP,19185
Ratnapura,MAHINDA DEWAGE,SLSP,5
Ratnapura,ARIYANETHIRAN PAKKIYASELVAM,IND9,3
Ratnapura,VICTOR PERERA,IND10,2
Ratnapura,ANURUDDHA POLGAMPALA,IND11,5
Ratnapura,SAJITH PREMADASA,SJB,4675
Ratnapura,SARATH FONSEKA,IND12,19
Ratnapura,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,17
Ratnapura,SARATH BANDARANAYAKE,NDF,2
Ratnapura,BATHTHARAMULLE SEELARATHANA THERO,JSP,10
Ratnapura,NUWAN BOPEGE,SPF,30
Ratnapura,SARATH MANAMENDRA,NSU,1
Ratnapura,PEMASIRI MANAGE,IND14,2
Ratnapura,ANURUDDHA ROSHAN RANASINGHE,IND15,2
Ratnapura,JANAKA RATNAYAKE,ELPP,4
Ratnapura,NAMAL RAJAPAKSHA,SBP,67
Ratnapura,NAMAL RAJAPAKSA,SLPP,500
Ratnapura,WIJEYADASA RAJAPAKSHE,JPF,15
Ratnapura,A.S.P. LIYANAGE,SLLP,1
Ratnapura,KEERTHIE WICKRAMARATNE,AJP,4
Ratnapura,PRIYANTHA WICKRAMASINGHE,NSSP,8
Ratnapura,RANIL WICKREMESINGHE,IND16,6641
Ratnapura,PANI WIJESIRIWARDENA,SEP,2
Ratnapura,OSHALA HERATH,NIF,1
Kegalle,AKMEEMANA DAYARATHANA THERO,IND1,16
Kegalle,ABUBAKAR MOHAMED INFAS,DUA,4
Kegalle,SIRIPALA AMARASINGHE,IND2,9
Kegalle,K.K. PIYADASA,IND4,24
Kegalle,SARATH KEERTHIRATHNA,IND5,8
Kegalle,K.A. KULARATNA,IND6,4
Kegalle,K.R. KRISHAN,APP,3
Kegalle,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,2
Kegalle,DILITH JAYAWEERA,SLCP,182
Kegalle,SIRITUNGA JAYASURIYA,USP,5
Kegalle,MYLVAGANAM THILAKARAJAH,IND8,0
Kegalle,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,45
Kegalle,LALITH DE SILVA,UNFF,6
Kegalle,AJANTHA DE ZOYSA,RJA,9
Kegalle,ANURA KUMARA DISSANAYAKE,NPP,20062
Kegalle,MAHINDA DEWAGE,SLSP,6
Kegalle,ARIYANETHIRAN PAKKIYASELVAM,IND9,7
Kegalle,VICTOR PERERA,IND10,7
Kegalle,ANURUDDHA POLGAMPALA,IND11,8
Kegalle,SAJITH PREMADASA,SJB,5604
Kegalle,SARATH FONSEKA,IND12,27
Kegalle,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,28
Kegalle,SARATH BANDARANAYAKE,NDF,4
Kegalle,BATHTHARAMULLE SEELARATHANA THERO,JSP,5
Kegalle,NUWAN BOPEGE,SPF,35
Kegalle,SARATH MANAMENDRA,NSU,3
Kegalle,PEMASIRI MANAGE,IND14,3
Kegalle,ANURUDDHA ROSHAN RANASINGHE,IND15,6
Kegalle,JANAKA RATNAYAKE,ELPP,4
Kegalle,NAMAL RAJAPAKSHA,SBP,31
Kegalle,NAMAL RAJAPAKSA,SLPP,482
Kegalle,WIJEYADASA RAJAPAKSHE,JPF,19
Kegalle,A.S.P. LIYANAGE,SLLP,0
Kegalle,KEERTHIE WICKRAMARATNE,AJP,5
Kegalle,PRIYANTHA WICKRAMASINGHE,NSSP,9
Kegalle,RANIL WICKREMESINGHE,IND16,7229
Kegalle,PANI WIJESIRIWARDENA,SEP,2
Kegalle,OSHALA HERATH,NIF,1
